time in milliseconds,acceleration_x,acceleration_y,acceleration_z,Roll,Pitch,Yaw
6.0,-7.5352,0.7557,5.0713,0.1252,-0.1108,0.1277
11.0,-7.5352,0.7557,5.0713,0.1252,-0.1108,0.1277
16.0,-7.5352,0.7557,5.0713,-0.1784,-0.9507,-0.2547
21.0,-7.5352,0.7557,5.0713,-0.1784,-0.9507,-0.2547
26.0,-7.5352,0.7557,5.0713,-0.1784,-0.9507,-0.2547
31.0,-6.9844,0.8176,6.2892,-0.1784,-0.9507,-0.2547
36.0,-6.9844,0.8176,6.2892,-0.1784,-0.9507,-0.2547
41.0,-6.9844,0.8176,6.2892,-0.1784,-0.9507,-0.2547
46.0,-6.9844,0.8176,6.2892,-0.1784,-0.9507,-0.2547
52.0,-6.9844,0.8176,6.2892,-0.5285,-0.9886,-0.5907
56.0,-6.745,-0.2692,7.6351,-0.5285,-0.9886,-0.5907
61.0,-6.745,-0.2692,7.6351,-0.5285,-0.9886,-0.5907
66.0,-6.745,-0.2692,7.6351,-0.5285,-0.9886,-0.5907
71.0,-6.745,-0.2692,7.6351,-0.5285,-0.9886,-0.5907
76.0,-6.745,-0.2692,7.6351,-0.5285,-0.9886,-0.5907
81.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
86.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
91.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
96.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
101.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
106.0,-6.8647,-0.6219,7.6399,-0.3513,-0.8909,-0.2101
112.0,-6.1607,0.3457,7.5972,-0.055,-1.1212,0.2871
116.0,-6.1607,0.3457,7.5972,-0.055,-1.1212,0.2871
121.0,-6.1607,0.3457,7.5972,-0.055,-1.1212,0.2871
126.0,-6.1607,0.3457,7.5972,-0.055,-1.1212,0.2871
131.0,-6.1607,0.3457,7.5972,-0.055,-1.1212,0.2871
136.0,-5.8015,0.7604,6.3271,-0.055,-1.1212,0.2871
141.0,-5.8015,0.7604,6.3271,-0.2047,-1.6117,0.3445
146.0,-5.8015,0.7604,6.3271,-0.2047,-1.6117,0.3445
151.0,-5.8015,0.7604,6.3271,-0.2047,-1.6117,0.3445
